"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0021644137269201,0.000502971662056747,4.30325183345201,5.88084879925989e-05
"mean.depth",1.95355837678075e-06,8.93538004880242e-07,2.18631817125963,0.0324560250817692
"airTemp",9.87840182272973e-06,3.82801135904229e-06,2.58055708204616,0.0121679410945577
"log.age",5.83980032070499e-05,2.53091248777188e-05,2.30738927122926,0.024278481039515
"log.DIP",-5.41985373136132e-05,3.23901732843313e-05,-1.67330186343374,0.0991493979944309
"log.precip",-0.000206154760427142,7.60202295019605e-05,-2.71184080576638,0.00858256120561456
"log.ch4",-6.23724198022734e-05,2.21543485348465e-05,-2.81535788354003,0.00646846568071687
